old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
ARMS_TZS_ANG1_220622-221122_SF40_ETOH_(1),EMOBON040413,DBN_AAMH,ERS29969732,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380249,EMOBON_TZS_Ha_23
ARMS_TZS_ANG1_220622-221122_SF40_ETOH_(1),EMOBON040413,DBN_AAMH,ERS29969741,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380258,EMOBON_TZS_Ha_23
ARMS_TZS_ANG1_220622-221122_MF100_ETOH_(1),EMOBON040414,DBN_AAMI,ERS29969733,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380250,EMOBON_TZS_Ha_24
ARMS_TZS_ANG1_220622-221122_MF100_ETOH_(1),EMOBON040414,DBN_AAMI,ERS29969742,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380259,EMOBON_TZS_Ha_24
ARMS_TZS_ANG1_220622-221122_MF500_ETOH,EMOBON040415,DBN_AAMJ,ERS29969734,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380251,EMOBON_TZS_Ha_25
ARMS_TZS_ANG1_220622-221122_MF500_ETOH,EMOBON040415,DBN_AAMJ,ERS29969743,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380260,EMOBON_TZS_Ha_25
ARMS_TZS_ANG2_220622-221123_SF40_ETOH_(1),EMOBON040416,DBN_AAMK,ERS29969735,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380252,EMOBON_TZS_Ha_26
ARMS_TZS_ANG2_220622-221123_SF40_ETOH_(1),EMOBON040416,DBN_AAMK,ERS29969744,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380261,EMOBON_TZS_Ha_26
ARMS_TZS_ANG2_220622-221123_MF100_ETOH_(1),EMOBON040417,DBN_AAML,ERS29969736,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380253,EMOBON_TZS_Ha_27
ARMS_TZS_ANG2_220622-221123_MF100_ETOH_(1),EMOBON040417,DBN_AAML,ERS29969745,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380262,EMOBON_TZS_Ha_27
ARMS_TZS_ANG2_220622-221122_MF500_ETOH,EMOBON040418,DBN_AAMM,ERS29969737,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380254,EMOBON_TZS_Ha_28
ARMS_TZS_ANG2_220622-221122_MF500_ETOH,EMOBON040418,DBN_AAMM,ERS29969746,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380263,EMOBON_TZS_Ha_28
ARMS_TZS_ANG3_220622-221124_SF40_ETOH_(1),EMOBON040419,DBN_AAMN,ERS29969738,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380255,EMOBON_TZS_Ha_29
ARMS_TZS_ANG3_220622-221124_SF40_ETOH_(1),EMOBON040419,DBN_AAMN,ERS29969747,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380264,EMOBON_TZS_Ha_29
ARMS_TZS_ANG3_220622-221124_MF100_ETOH_(1),EMOBON040420,DBN_AAMO,ERS29969739,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380256,EMOBON_TZS_Ha_30
ARMS_TZS_ANG3_220622-221124_MF100_ETOH_(1),EMOBON040420,DBN_AAMO,ERS29969748,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380265,EMOBON_TZS_Ha_30
ARMS_TZS_ANG3_220622-221124_MF500_ETOH,EMOBON040421,DBN_AAMP,ERS29969740,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380257,EMOBON_TZS_Ha_31
ARMS_TZS_ANG3_220622-221124_MF500_ETOH,EMOBON040421,DBN_AAMP,ERS29969749,NA,to_be_added,NA,to_be_added,PRJEB37756,PRJEB51688,SAMEA122380266,EMOBON_TZS_Ha_31
